2025-11-21 00:52:09;SYSTEM;GAME_START;FLIP;Players: 4
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;ONE
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;FIVE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;SEVEN
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;SEVEN
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;EIGHT
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_TWO
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;TWO
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;FIVE
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;TWO
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;FIVE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;WILD
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;ONE
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;SKIP
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;ONE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;SKIP
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;EIGHT
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;SEVEN
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;THREE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;FOUR
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;WILD_DRAW_TWO
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;SEVEN
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;NINE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;REVERSE
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;EIGHT
2025-11-21 00:52:09;Giocatore 1;DRAW;DoubleSidedCard;FOUR
2025-11-21 00:52:09;IA-1;DRAW;DoubleSidedCard;REVERSE
2025-11-21 00:52:09;IA-2;DRAW;DoubleSidedCard;ONE
2025-11-21 00:52:09;IA-3;DRAW;DoubleSidedCard;THREE
2025-11-21 00:52:09;SYSTEM;SETUP_CARD_FLIPPED;DoubleSidedCard;Starting Color: GREEN
2025-11-21 00:52:11;Giocatore 1;PLAY;DoubleSidedCard;SKIP
