2026-01-30 19:04:19;SYSTEM;GAME_START;CLASSIC;Players: 4
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;EIGHT
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;SEVEN
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;SIX
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;FOUR
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;THREE
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;ONE
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;ONE
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;EIGHT
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;FIVE
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;TWO
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;TWO
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;ONE
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;EIGHT
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;NINE
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;SEVEN
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;SIX
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;FIVE
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;SIX
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;SKIP
2026-01-30 19:04:19;Giocatore 1;DRAW;DoubleSidedCard;WILD
2026-01-30 19:04:19;IA-1;DRAW;DoubleSidedCard;ONE
2026-01-30 19:04:19;IA-2;DRAW;DoubleSidedCard;ZERO
2026-01-30 19:04:19;IA-3;DRAW;DoubleSidedCard;SIX
2026-01-30 19:04:19;SYSTEM;SETUP_CARD_FLIPPED;DoubleSidedCard;Starting Color: RED
2026-01-30 19:04:25;IA-1;PLAY;DoubleSidedCard;NINE
2026-01-30 19:04:30;IA-2;PLAY;DoubleSidedCard;NINE
2026-01-30 19:04:35;IA-3;PLAY;DoubleSidedCard;NINE
2026-01-30 19:04:37;Giocatore 1;PLAY;DoubleSidedCard;WILD
2026-01-30 19:04:38;Giocatore 1;SET_COLOR;N/A;GREEN
