2025-11-20 00:17:58;SYSTEM;GAME_START;CLASSIC;Players: 4
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;DRAW_TWO
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;REVERSE
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;THREE
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;TWO
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;ONE
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;ZERO
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;ZERO
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;NINE
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;THREE
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;WILD_DRAW_FOUR
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;EIGHT
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;SIX
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;SIX
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;SIX
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;SIX
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;TWO
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;REVERSE
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;DRAW_TWO
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;WILD_DRAW_FOUR
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;FIVE
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;FOUR
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;ONE
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;FIVE
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;TWO
2025-11-20 00:17:58;Giocatore 1;DRAW;DoubleSidedCard;ZERO
2025-11-20 00:17:58;IA-1;DRAW;DoubleSidedCard;NINE
2025-11-20 00:17:58;IA-2;DRAW;DoubleSidedCard;ONE
2025-11-20 00:17:58;IA-3;DRAW;DoubleSidedCard;SKIP
2025-11-20 00:17:58;SYSTEM;SETUP_CARD_FLIPPED;DoubleSidedCard;Starting Color: GREEN
2025-11-20 00:18:05;IA-1;PLAY;DoubleSidedCard;DRAW_TWO
2025-11-20 00:18:05;IA-2;DRAW;DoubleSidedCard;ONE
2025-11-20 00:18:05;IA-2;DRAW;DoubleSidedCard;FOUR
2025-11-20 00:18:10;IA-3;PLAY;DoubleSidedCard;NINE
2025-11-20 00:18:11;Giocatore 1;PLAY;DoubleSidedCard;SIX
